sample_id	cluster_id	estimated_counts	abundance	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group
barcode16_120_filtered	192	70.01031223297484	0.0015083553211887287	1550728	Blastomonas fulva	Blastomonas	Blastomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	79	33.99936441633463	0.0007325081205716822	65655	Hydrogenophaga palleronii	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota					
barcode16_120_filtered	23	239.52389508161164	0.005160484651117347	2590199	Anaeromyxobacter diazotrophicus	Anaeromyxobacter	Anaeromyxobacteraceae	Myxococcales	Myxococcia	Myxococcota					
barcode16_120_filtered	38	89.0775494884982	0.0019191543571797523	49338	Desulfitobacterium hafniense	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode16_120_filtered	38	26.907694353683176	0.0005797197964813784	36854	Desulfitobacterium dehalogenans	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode16_120_filtered	139	93.08139214664449	0.0020054161832736075	173675	Sphingopyxis witflariensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	139	28.998534726570536	0.0006247664489188956	2871171	Sphingopyxis jiangsuensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	139	51.123177846573235	0.001101436558150883	33052	Sphingopyxis terrae	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	139	32.08010037714326	0.0006911580389344664	651663	Sphingopyxis bauzanensis	Sphingopyxis	Sphingopyxidaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	158	16.797510248602403	0.0003618983140924788	2559804	Sphingomonas flavalba	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	192	16.157903933841595	0.00034811815003429056	1538021	Novosphingobium tardum	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	22	36.63949981569629	0.000789389202104843	335605	Sphingomonas rosea	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	23	11.540798616958048	0.0002486437276087051	2918171	Anaeromyxobacter paludicola	Anaeromyxobacter	Anaeromyxobacteraceae	Myxococcales	Myxococcia	Myxococcota					
barcode16_120_filtered	23	15.916202518250826	0.00034291075122806904	2925406	Anaeromyxobacter terrae	Anaeromyxobacter	Anaeromyxobacteraceae	Myxococcales	Myxococcia	Myxococcota					
barcode16_120_filtered	211	108.48626868793065	0.0023373105394361876	1305696	Novosphingobium arabidopsis	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	155	12.509177752722543	0.00026950722293919086	2707068	Sphingomonas montis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	134	83.38408521249835	0.0017964900401270785	173676	Novosphingobium hassiacum	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	211	24.21723404161074	0.0005217544768202249	48935	Novosphingobium aromaticivorans	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	22	115.93305124767615	0.0024977496767785447	2992113	Sphingomonas arvum	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	16	45.42058083604409	0.0009785754785315974	3375356	Desulfitobacterium nosdiversum	Desulfitobacterium	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode16_120_filtered	139	27.489925450679813	0.000592263825286649	574956	Novosphingobium soli	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	133	43.0	0.0009264246472045675	55583	Dehalobacter restrictus	Dehalobacter	Desulfitobacteriaceae	Eubacteriales	Clostridia	Bacillota					
barcode16_120_filtered	163	23.0	0.000495529462458257	147266	Agrobacterium albertimagni	Agrobacterium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota					
barcode16_120_filtered	226	17.757792502698234	0.0003825873640568401	1141888	Sphingomonas difficilis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	220	25.011855452798542	0.0005350015069794986	365341	Sphingobium aromaticiconvertens	Sphingobium	Sphingobiaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	120	19.58706474389076	0.0004189656850953083	3163295	Sphingomonas plantiphila	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	120	22.81820407963827	0.0004880794866342596	3103142	Sphingomonas rustica	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	155	68.12870525816058	0.001457267336702115	1460355	Sphingomonas mohensis	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
barcode17_120_filtered	155	26.873330674737556	0.0005748183070894218	2320861	Sphingomonas cavernae	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota					
