OTU_ID	sample_id	read_count	relative_abundance	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_53	barcode19	0	0.000000	4		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma	Candidozyma pseudohaemuli
OTU_53	barcode20	143	0.002697	4		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma	Candidozyma pseudohaemuli
OTU_53	barcode21	272	0.002560	4		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma	Candidozyma pseudohaemuli
OTU_216	barcode19	43	0.002055	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum
OTU_216	barcode20	95	0.001792	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum
OTU_216	barcode21	243	0.002287	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum
OTU_57	barcode19	232	0.011088	2		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata
OTU_57	barcode20	43	0.000811	2		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata
OTU_57	barcode21	97	0.000913	2		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata
OTU_296	barcode19	0	0.000000	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma	Candidozyma khanbhai
OTU_296	barcode20	102	0.001924	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma	Candidozyma khanbhai
OTU_296	barcode21	253	0.002381	1		Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma	Candidozyma khanbhai
OTU_61	barcode19	0	0.000000	1		Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Pichia	[Candida] silvatica
OTU_61	barcode20	100	0.001886	1		Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Pichia	[Candida] silvatica
OTU_61	barcode21	246	0.002315	1		Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Pichia	[Candida] silvatica
OTU_157	barcode19	0	0.000000	1		Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Sistotrema	Sistotrema luteoviride
OTU_157	barcode20	79	0.001490	1		Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Sistotrema	Sistotrema luteoviride
OTU_157	barcode21	263	0.002475	1		Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Sistotrema	Sistotrema luteoviride
OTU_23	barcode19	13	0.000621	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Linderina	Linderina pennispora
OTU_23	barcode20	62	0.001170	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Linderina	Linderina pennispora
OTU_23	barcode21	256	0.002409	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Linderina	Linderina pennispora
OTU_261	barcode19	44	0.002103	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba
OTU_261	barcode20	105	0.001981	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba
OTU_261	barcode21	180	0.001694	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba
OTU_72	barcode19	43	0.002055	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae
OTU_72	barcode20	100	0.001886	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae
OTU_72	barcode21	180	0.001694	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae
OTU_270	barcode19	0	0.000000	3		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria sorghi
OTU_270	barcode20	74	0.001396	3		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria sorghi
OTU_270	barcode21	240	0.002258	3		Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria sorghi
OTU_84	barcode19	19	0.000908	1		Ascomycota				Novakomyces	Novakomyces olei
