sample_id	cluster_id	abundance	Kingdom	Phylum	Class	Order	Family	Genus	Species	ncbi tax number	read_count
barcode20	38	0.000313285532		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Neocatenulostroma	Neocatenulostroma microsporum	1431937	32.7
barcode20	38	0.000362199399		Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Dothidea	Dothidea sambuci	162394	37.8
barcode20	38	0.000372179155		Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Tyrannosorus	Tyrannosorus pinicola	43223	38.8
barcode20	271	0.001327496808		Cryptomycota				Paramicrosporidium	Paramicrosporidium saccamoebae	1246581	138.5
barcode20	252	0.003085550678		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia wiehei	1904436	322.0
barcode20	188	0.000671242308		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum cremeoalbum	2822377	70.0
barcode20	197	0.000968710202		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana	2558025	101.1
barcode20	157	0.000759560940		Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Sistotrema	Sistotrema luteoviride	1403820	79.3
barcode20	188	0.002045675889		Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum pinicola	2822381	213.5
barcode20	133	0.000112629154		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Chrysozyma	Chrysozyma iridis	2877807	11.8
barcode20	151	0.000161832580		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Chrysozyma	Chrysozyma flava	2877812	16.9
barcode20	132	0.000137563379		Basidiomycota	Microbotryomycetes		Chrysozymaceae	Chrysozyma	Chrysozyma pseudogriseoflava	2877805	14.4
