node	module	degree	strength	betweenness	closeness	genus	species	Phylum	Class	Order	Family	evidence_category	is_degrader
OTU_268	2	83	66.714	12.304	9.04e-4	Derxia	Derxia gummosa	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA	FALSE
OTU_269	2	103	82.2	17.078	9.32e-4	Rubellimicrobium	Rubellimicrobium thermophilum	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	NA	FALSE
OTU_27	1	72	61.886	13.137	8.45e-4	Aristaeella	Aristaeella lactis	Bacillota	Clostridia	Eubacteriales	Aristaeellaceae	NA	FALSE
OTU_272	2	100	79.886	16.074	0.00093000000000000005	Brevundimonas	Brevundimonas olei	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	FALSE
OTU_273	2	70	57.829	7.899	8.86e-4	Sandarakinorhabdus	Sandarakinorhabdus oryzae	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	NA	FALSE
OTU_274	3	10	8.4	0.5	4.25e-4	Roseococcus	Roseococcus pinisoli	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Roseomonadaceae	NA	FALSE
OTU_275	2	70	57.829	7.899	8.86e-4	Acetivibrio	Acetivibrio straminisolvens	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA	FALSE
OTU_276	1	76	64.229	153.771	8.45e-4	Paludibacter	Paludibacter propionicigenes	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	NA	FALSE
OTU_278	2	101	82.714	34.348	9.43e-4	Vampirovibrio	Vampirovibrio chlorellavorus	Candidatus Melainabacteria	Vampirovibriophyceae	Vampirovibrionales	NA	NA	FALSE
OTU_279	1	49	39.914	0.958	7.23e-4	Novosphingobium	Novosphingobium arabidopsis	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	POP_BROAD	TRUE
OTU_28	2	30	24.057	230.182	9.78e-4	Caldimonas	Caldimonas brevitalea	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	NA	FALSE
OTU_280	1	56	44.629	1693.083	8.12e-4	Lentimicrobium	Lentimicrobium saccharophilum	Bacteroidota	Bacteroidia	Bacteroidales	Lentimicrobiaceae	NA	FALSE
OTU_281	2	100	83.543	30.2	9.27e-4	Clostridium	Clostridium omnivorum	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	NA	FALSE
