sample_id	cluster_id	abundance	member_taxids	member_taxa	read_count
barcode13_120_filtered	177	0.018409	642589	642589||Bacillota|Clostridia|Eubacteriales|Acutalibacteraceae|Caproiciproducens|Caproiciproducens galactitolivorans	95
barcode13_120_filtered	179	0.002743	2010828	2010828||Bacteroidota|Bacteroidia|Marinilabiliales|Prolixibacteraceae|Aquipluma|Aquipluma nitroreducens	118
barcode13_120_filtered	182	0.000474	913099	913099||Bacillota|Tissierellia|||Sedimentibacter|Sedimentibacter acidaminivorans	3
barcode13_120_filtered	184	0.003343	1944642	1944642||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Marasmitruncus|Marasmitruncus massiliensis	129
barcode13_120_filtered	185	0.001305	130788	130788||Bacillota|Tissierellia|||Sedimentibacter|Sedimentibacter saalensis	27
barcode13_120_filtered	186	0.000879	1141888	1141888||Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|Sphingomonas difficilis	8
barcode13_120_filtered	189	0.057697	2507161	2507161||Bacillota|Tissierellia|Tissierellales|Acidilutibacteraceae|Acidilutibacter|Acidilutibacter cellobiosedens	2488
barcode13_120_filtered	190	0.001084	655338	655338||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Fervidicella|Fervidicella metallireducens	12
barcode13_120_filtered	195	0.001415	74312;74313	74312||Pseudomonadota|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas|Brevundimonas variabilis;74313||Pseudomonadota|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas|Brevundimonas subvibrioides	38
barcode13_120_filtered	201	0.000386	1157315;3350403	1157315||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium kogasense;3350403||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium caseinilyticum	17
barcode13_120_filtered	203	0.000279	373043	373043||Pseudomonadota|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Paeniroseomonas|Paeniroseomonas aquatica	12
barcode13_120_filtered	204	0.000343	36845	36845||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium intestinale	15
barcode13_120_filtered	206	0.000364	1337094	1337094||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ercella|Ercella succinigenes	17
barcode13_120_filtered	209	0.000750	1348470	1348470||Pseudomonadota|Alphaproteobacteria|Hyphomonadales|Hyphomonadaceae|Asprobacter|Asprobacter aquaticus	30
barcode13_120_filtered	210	0.001886	2820301	2820301||Bacillota|Clostridia|Eubacteriales|Acutalibacteraceae|Caproiciproducens|Caproiciproducens faecalis	46
barcode13_120_filtered	212	0.000391	2307010	2307010||Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Candidatus Galacturonatibacter|Candidatus Galacturonatibacter soehngenii	79
barcode14_120_filtered	2	0.006409	1076412	1076412||Bacillota|Negativicutes|Selenomonadales|Sporomusaceae|Pelosinus|Pelosinus defluvii	1
barcode14_120_filtered	3	0.008625	29355;48256;396504	29355||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ruminiclostridium|Ruminiclostridium cellobioparum;48256||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ruminiclostridium|Ruminiclostridium hungatei;396504||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ruminiclostridium|Ruminiclostridium sufflavum	11
barcode14_120_filtered	4	0.001581	1499;1521	1499||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ruminiclostridium|Ruminiclostridium josui;1521||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Ruminiclostridium|Ruminiclostridium cellulolyticum	3
barcode14_120_filtered	5	0.005668	84032	84032||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium thermosuccinogenes	212
barcode14_120_filtered	7	0.000341	908809	908809||Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Caloramator|Caloramator mitchellensis	3
barcode14_120_filtered	9	0.000467	365349;380084	365349||Bacillota|Negativicutes|Selenomonadales|Sporomusaceae|Pelosinus|Pelosinus fermentans;380084||Bacillota|Negativicutes|Selenomonadales|Sporomusaceae|Pelosinus|Pelosinus propionicus	3
barcode14_120_filtered	10	0.055610	659425	659425||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Thermoclostridium|Thermoclostridium caenicola	8
barcode14_120_filtered	12	0.003783	288965	288965||Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Acetivibrio|Acetivibrio clariflavus	113
barcode14_120_filtered	14	0.012579	394284	394284||Bacillota|Negativicutes|Selenomonadales|Sporomusaceae|Psychrosinus|Psychrosinus fermentans	89
barcode14_120_filtered	19	0.001962	209080	209080||Bacillota|Negativicutes|Selenomonadales|Sporomusaceae|Propionispora|Propionispora hippei	3
barcode14_120_filtered	20	0.000663	2590199;2918171;2925406	2590199||Myxococcota|Myxococcia|Myxococcales|Anaeromyxobacteraceae|Anaeromyxobacter|Anaeromyxobacter diazotrophicus;2918171||Myxococcota|Myxococcia|Myxococcales|Anaeromyxobacteraceae|Anaeromyxobacter|Anaeromyxobacter paludicola;2925406||Myxococcota|Myxococcia|Myxococcales|Anaeromyxobacteraceae|Anaeromyxobacter|Anaeromyxobacter terrae	3
