OTU_ID	total_reads	barcode19	barcode20	barcode21	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	threepoint_status	cluster_id	cluster_total_support_reads	assigned_phylum_support_pct	top_phylum_in_cluster	top_phylum_support_pct	assigned_class_support_pct	top_class_in_cluster	top_class_support_pct	assigned_order_support_pct	top_order_in_cluster	top_order_support_pct	assigned_family_support_pct	top_family_in_cluster	top_family_support_pct	assigned_genus_support_pct	top_genus_in_cluster	top_genus_support_pct	assigned_species_support_pct	top_species_in_cluster	top_species_support_pct
OTU_46	488	186	142	160	8		Ascomycota	Sordariomycetes	Glomerellales	Australiascaceae	Monilochaetes	Monilochaetes dimorphospora	pass	46	488.500	100.00	Ascomycota	100.00	100.00	Sordariomycetes	100.00	58.18	Glomerellales	58.18	58.18	Australiascaceae	58.18	58.18	Monilochaetes	58.18	58.18	Monilochaetes dimorphospora	58.18
OTU_116	462	39	96	327	1		Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola pottsiae	pass	116	542.200	100.00	Ascomycota	100.00	100.00	Sordariomycetes	100.00	100.00	Meliolales	100.00	100.00	Meliolaceae	100.00	100.00	Meliola	100.00	100.00	Meliola pottsiae	100.00
OTU_271	456	43	138	275	1		Cryptomycota				Paramicrosporidium	Paramicrosporidium saccamoebae	pass	271	481.400	100.00	Cryptomycota	100.00	NA		0.00	NA		0.00	NA		0.00	100.00	Paramicrosporidium	100.00	100.00	Paramicrosporidium saccamoebae	100.00
OTU_197	450	40	101	308	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana	pass	197	506.500	100.00	Basidiomycota	100.00	100.00	Pucciniomycetes	100.00	100.00	Pucciniales	100.00	100.00	Milesinaceae	100.00	100.00	Milesina	100.00	100.00	Milesina woodwardiana	100.00
OTU_258	448	43	73	332	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana	pass	258	471.000	100.00	Mucoromycota	100.00	100.00	Mortierellomycetes	100.00	100.00	Mortierellales	100.00	100.00	Mortierellaceae	100.00	100.00	Entomortierella	100.00	100.00	Entomortierella sugadairana	100.00
OTU_216	380	43	95	243	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum	pass	216	402.100	100.00	Mucoromycota	100.00	100.00	Glomeromycetes	100.00	100.00	Diversisporales	100.00	100.00	Diversisporaceae	100.00	100.00	Redeckera	100.00	100.00	Redeckera megalocarpum	100.00
OTU_57	371	232	43	97	2		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata	pass	57	371.200	100.00	Mucoromycota	100.00	100.00	Glomeromycetes	100.00	100.00	Diversisporales	100.00	100.00	Acaulosporaceae	100.00	100.00	Acaulospora	100.00	65.81	Acaulospora cavernata	65.81
OTU_23	332	13	62	256	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Linderina	Linderina pennispora	pass	23	349.000	100.00	Zoopagomycota	100.00	100.00	Kickxellomycetes	100.00	100.00	Kickxellales	100.00	100.00	Kickxellaceae	100.00	100.00	Linderina	100.00	100.00	Linderina pennispora	100.00
OTU_261	330	44	105	180	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba	pass	261	355.200	100.00	Ascomycota	100.00	100.00	Saccharomycetes	100.00	100.00	Phaffomycetales	100.00	100.00	Phaffomycetaceae	100.00	100.00	Phaffomyces	100.00	100.00	[Candida] orba	100.00
OTU_72	323	43	100	180	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae	pass	72	322.600	100.00	Ascomycota	100.00	100.00	Pichiomycetes	100.00	100.00	Serinales	100.00	100.00	Debaryomycetaceae	100.00	75.67	Danielozyma	75.67	75.67	Danielozyma litseae	75.67
