OTU_ID	sample_id	read_count	relative_abundance	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species	matched_phylum	category
OTU_88	barcode19	438	0.042903	3		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniastraceae	Pucciniastrum	Pucciniastrum myosotidii	Basidiomycota	Direct_POP_degradation
OTU_88	barcode20	45	0.001623	3		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniastraceae	Pucciniastrum	Pucciniastrum myosotidii	Basidiomycota	Direct_POP_degradation
OTU_88	barcode21	79	0.001428	3		Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniastraceae	Pucciniastrum	Pucciniastrum myosotidii	Basidiomycota	Direct_POP_degradation
OTU_73	barcode19	33	0.003232	5		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces beijingensis	Basidiomycota	Direct_POP_degradation
OTU_73	barcode20	116	0.004185	5		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces beijingensis	Basidiomycota	Direct_POP_degradation
OTU_73	barcode21	409	0.007394	5		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces beijingensis	Basidiomycota	Direct_POP_degradation
OTU_179	barcode19	35	0.003428	3		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces cellobiolyticus	Basidiomycota	Direct_POP_degradation
OTU_179	barcode20	165	0.005952	3		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces cellobiolyticus	Basidiomycota	Direct_POP_degradation
OTU_179	barcode21	306	0.005532	3		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces cellobiolyticus	Basidiomycota	Direct_POP_degradation
OTU_46	barcode19	186	0.018219	8		Ascomycota	Sordariomycetes	Glomerellales	Australiascaceae	Monilochaetes	Monilochaetes dimorphospora	Ascomycota	Pollutant_responsive
OTU_46	barcode20	142	0.005122	8		Ascomycota	Sordariomycetes	Glomerellales	Australiascaceae	Monilochaetes	Monilochaetes dimorphospora	Ascomycota	Pollutant_responsive
OTU_46	barcode21	160	0.002893	8		Ascomycota	Sordariomycetes	Glomerellales	Australiascaceae	Monilochaetes	Monilochaetes dimorphospora	Ascomycota	Pollutant_responsive
OTU_116	barcode19	39	0.003820	1		Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola pottsiae	Ascomycota	Pollutant_responsive
OTU_116	barcode20	96	0.003463	1		Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola pottsiae	Ascomycota	Pollutant_responsive
OTU_116	barcode21	327	0.005912	1		Ascomycota	Sordariomycetes	Meliolales	Meliolaceae	Meliola	Meliola pottsiae	Ascomycota	Pollutant_responsive
OTU_197	barcode19	40	0.003918	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana	Basidiomycota	Direct_POP_degradation
OTU_197	barcode20	101	0.003643	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana	Basidiomycota	Direct_POP_degradation
OTU_197	barcode21	308	0.005568	1		Basidiomycota	Pucciniomycetes	Pucciniales	Milesinaceae	Milesina	Milesina woodwardiana	Basidiomycota	Direct_POP_degradation
OTU_258	barcode19	43	0.004212	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_258	barcode20	73	0.002633	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_258	barcode21	332	0.006002	1		Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella sugadairana	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_216	barcode19	43	0.004212	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_216	barcode20	95	0.003427	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_216	barcode21	243	0.004393	1		Mucoromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera megalocarpum	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_57	barcode19	232	0.022725	2		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_57	barcode20	43	0.001551	2		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_57	barcode21	97	0.001754	2		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora cavernata	Mucoromycota	Indirect_facilitation;Phytoremediation_facilitation
OTU_261	barcode19	44	0.004310	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba	Ascomycota	Pollutant_responsive
