OTU_ID	Genus	Species	Phylum	total_reads	barcode19	barcode20	barcode21	min_all	threepoint_status
OTU_136	Chrysozyma	Chrysozyma fusiformis	Basidiomycota	15	0	0	15	0.0	fail
OTU_138	Lulesia	Lulesia alachuana	Basidiomycota	15	0	0	15	0.0	fail
OTU_185	Umbelopsis	Umbelopsis curvata	Mucoromycota	15	0	0	15	0.0	fail
OTU_246	Basidiodendron	Basidiodendron parile	Basidiomycota	15	0	0	15	0.0	fail
OTU_59	Kappamyces	Kappamyces laurelensis	Chytridiomycota	14	0	14	0	0.0	fail
OTU_89	Metschnikowia	Metschnikowia rancensis	Ascomycota	14	0	0	14	0.0	fail
OTU_139	Puccinia	Puccinia setariae	Basidiomycota	14	14	0	0	0.0	fail
OTU_166	Heitmania	Heitmania cylindrica	Basidiomycota	14	0	14	0	0.0	fail
OTU_181	Microsporomyces	Microsporomyces rubellus	Basidiomycota	14	0	0	14	0.0	fail
OTU_227	Neocoleroa	Neocoleroa metrosideri	Ascomycota	14	0	0	14	0.0	fail
