OTU_ID	sample_id	read_count	relative_abundance	member_count	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_23	barcode19	13	0.000643	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Linderina	Linderina pennispora
OTU_23	barcode20	62	0.001264	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Linderina	Linderina pennispora
OTU_23	barcode21	256	0.002619	1		Zoopagomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Linderina	Linderina pennispora
OTU_261	barcode19	44	0.002176	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba
OTU_261	barcode20	105	0.002140	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba
OTU_261	barcode21	180	0.001842	1		Ascomycota	Saccharomycetes	Phaffomycetales	Phaffomycetaceae	Phaffomyces	[Candida] orba
OTU_72	barcode19	43	0.002127	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae
OTU_72	barcode20	100	0.002038	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae
OTU_72	barcode21	180	0.001842	2		Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Danielozyma	Danielozyma litseae
OTU_84	barcode19	19	0.000940	1		Ascomycota				Novakomyces	Novakomyces olei
OTU_84	barcode20	72	0.001467	1		Ascomycota				Novakomyces	Novakomyces olei
OTU_84	barcode21	215	0.002200	1		Ascomycota				Novakomyces	Novakomyces olei
OTU_42	barcode19	56	0.002769	1		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales		Hyaloraphidium	Hyaloraphidium curvatum
OTU_42	barcode20	125	0.002547	1		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales		Hyaloraphidium	Hyaloraphidium curvatum
OTU_42	barcode21	123	0.001258	1		Chytridiomycota	Monoblepharidomycetes	Monoblepharidales		Hyaloraphidium	Hyaloraphidium curvatum
OTU_293	barcode19	88	0.004352	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis
OTU_293	barcode20	56	0.001141	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis
OTU_293	barcode21	158	0.001616	1		Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis
OTU_109	barcode19	52	0.002572	1		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Dicephalospora	Dicephalospora sessilis
OTU_109	barcode20	65	0.001325	1		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Dicephalospora	Dicephalospora sessilis
OTU_109	barcode21	183	0.001872	1		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Dicephalospora	Dicephalospora sessilis
OTU_39	barcode19	29	0.001434	1		Basidiomycota	Ustilaginomycetes	Ustilaginales		Kalmanozyma	Kalmanozyma brasiliensis
OTU_39	barcode20	161	0.003281	1		Basidiomycota	Ustilaginomycetes	Ustilaginales		Kalmanozyma	Kalmanozyma brasiliensis
